"","Author","Book","District","State","Notes","BanDate"
"3908","Hopkins, Ellen","Triangles","Indian River County School","Florida",NA,"November 2021"
"3909","Hopkins, Ellen","Tricks (Tricks Series)","Brevard County Public Schools","Florida",NA,"March 2022"
"3910","Hopkins, Ellen","Tricks (Tricks Series)","Indian River County School","Florida",NA,"November 2021"
"3911","Hopkins, Ellen","Tricks (Tricks Series)","Polk County Schools","Florida",NA,"January 2022"
"3912","Hopkinson, Deborah","Michelle","Central York","Pennsylvania",NA,"September 2021"
"3913","Hopkinson, Deborah","What Is the Women's Rights Movement? (What was...? Series)","Central York","Pennsylvania",NA,"September 2021"
"3914","Horner, Emily","A Love Story Starring My Dead Best Friend","Granbury Independent School District","Texas",NA,"January 2022"
"3915","Horner, Emily","A Love Story Starring My Dead Best Friend","North East","Texas",NA,"December 2021"
"3916","Hort, Lenny","How Many Stars in the Sky?","Central York","Pennsylvania",NA,"September 2021"
"3917","Hosseini, Khaled","The Kite Runner","Indian River County School","Florida",NA,"November 2021"
"3918","Hosseini, Khaled","The Kite Runner","Polk County Schools","Florida",NA,"January 2022"
"3919","Hosseini, Khaled","The Kite Runner","Birdville","Texas",NA,"Fall 2021"
"3920","Hosseini, Khaled","The Kite Runner","Fredericksburg ISD","Texas",NA,"March 2022"
"3921","Howard, Greg","Middle School's a Drag, You Better Werk!","North East","Texas",NA,"December 2021"
"3922","Howard, Greg","The Whispers","Granbury Independent School District","Texas",NA,"January 2022"
"3923","Howard, Greg","The Whispers","North East","Texas",NA,"December 2021"
"3924","Howe, James","Totally Joe (The Misfits Series)","Granbury Independent School District","Texas",NA,"January 2022"
"3925","Howe, James","Totally Joe (The Misfits Series)","North East","Texas",NA,"December 2021"
"3926","Hubbard, Crystal","Catching the Moon: The Story of a Young Girl's Baseball Dream","Central York","Pennsylvania",NA,"September 2021"
"3927","Hudson Jr., David L.","Teen Legal Rights","North East","Texas",NA,"December 2021"
"3928","Hudson, Cheryl Willis","My Friend Maya Loves to Dance","Central York","Pennsylvania",NA,"September 2021"
"3929","Huegel, Kelly","GLBTQ*: The Survival Guide for Queer & Questioning Teens","North East","Texas",NA,"December 2021"
"3930","Hughes, Susan","No Girls Allowed: Tales of Daring Women Dressed as Men for Love, Freedom and Adventure","Granbury Independent School District","Texas",NA,"January 2022"
"3931","Hughes, Susan","No Girls Allowed: Tales of Daring Women Dressed as Men for Love, Freedom and Adventure","North East","Texas",NA,"December 2021"
"3932","Hurston, Zora Neale","Their Eyes Were Watching God","Edmond Public Schools","Oklahoma",NA,"October 2021"
"3933","Hurwin, Davida Wills","Freaks and Revelations","North East","Texas",NA,"December 2021"
"3934","Hutchinson, Shaun David","At the Edge of the Universe","North East","Texas",NA,"December 2021"
"3935","Hutchinson, Shaun David","Brave Face: A Memoir","Indian River County School","Florida",NA,"November 2021"
"3936","Hutchinson, Shaun David","Brave Face: A Memoir","Leander","Texas",NA,"Fall 2021"
"3937","Hutchinson, Shaun David","Brave Face: A Memoir","North East","Texas",NA,"December 2021"
"3938","Hutchinson, Shaun David","The Five Stages of Andrew Brawley","North East","Texas",NA,"December 2021"
"3939","Hutchinson, Shaun David","The Past and Other Things That Should Stay Buried","Granbury Independent School District","Texas",NA,"January 2022"
"3940","Hutchinson, Shaun David","The Past and Other Things That Should Stay Buried","North East","Texas",NA,"December 2021"
"3941","Hutchinson, Shaun David","We Are the Ants","Birdville","Texas",NA,"Fall 2021"
"3942","Hutchinson, Shaun David","We Are the Ants","Granbury Independent School District","Texas",NA,"January 2022"
"3943","Hutchinson, Shaun David","We Are the Ants","Keller","Texas",NA,"November 2021"
"3944","Hutchinson, Shaun David","We Are the Ants","North East","Texas",NA,"December 2021"
"3945","Huxley, Aldous","Brave New World","Indian River County School","Florida",NA,"November 2021"
"3946","Huxley, Aldous","Brave New World","Bristow Public Schools","Oklahoma",NA,"October 2021"
"3947","Hyde, Catherine Ryan","Jumpstart the World","North East","Texas",NA,"December 2021"
"3948","Hyde, Margaret O.","Safe Sex 101: An Overview for Teens","Granbury Independent School District","Texas",NA,"January 2022"
"3949","Hyde, Margaret O.","Safe Sex 101: An Overview for Teens","North East","Texas",NA,"December 2021"
"3950","Hyman, Miles","Shirley Jackson's ""The Lottery"": The Authorized Graphic Adaptation","Leander","Texas",NA,"Fall 2021"
"3951","Irving, John","The Cider House Rules","Klein ISD","Texas",NA,"Fall 2021"
"3952","Irving, John","The Cider House Rules","North East","Texas",NA,"December 2021"
"3953","Jackson, Tiffany D.","Monday's Not Coming","Brevard County Public Schools","Florida",NA,"March 2022"
"3954","Jackson, Tiffany D.","Monday's Not Coming","Goddard Public Schools","Kansas",NA,"November 2021"
"3955","Jackson, Tiffany D.","Monday's Not Coming","Birdville","Texas",NA,"Fall 2021"
"3956","Jackson, Tiffany D.","Monday's Not Coming","Canyons School District","Utah",NA,"October 2021"
"3957","Jacobs, Donald Trent","Teaching Truly: A Curriculum to Indigenize Mainstream Education","Central York","Pennsylvania",NA,"September 2021"
"3958","Jacobson, Jennifer Richard","Stained","Granbury Independent School District","Texas",NA,"January 2022"
"3959","Jacobson, Jennifer Richard","Stained","North East","Texas",NA,"December 2021"
"3960","James, LeBron","I Promise","Central York","Pennsylvania",NA,"September 2021"
"3961","Jamieson, Victoria","When Stars Are Scattered","Central York","Pennsylvania",NA,"September 2021"
"3962","Jennings, Jazz","Being Jazz: My Life as a (Transgender) Teen","Granbury Independent School District","Texas",NA,"January 2022"
"3963","Jennings, Jazz","Being Jazz: My Life as a (Transgender) Teen","North East","Texas",NA,"December 2021"
"3964","Jennings, Jazz","I am Jazz","Polk County Schools","Florida",NA,"January 2022"
"3965","Jewell, Lisa","Invisible Girl: A Novel","Wentzville","Missouri",NA,"Fall 2021"
"3966","Jewell, Tiffany","This Book Is Anti-Racist: 20 Lessons on How to Wake Up, Take Action, and Do the Work","Indian River County School","Florida",NA,"November 2021"
"3967","Jewell, Tiffany","This Book Is Anti-Racist: 20 Lessons on How to Wake Up, Take Action, and Do the Work","Central York","Pennsylvania",NA,"September 2021"
"3968","Jewell, Tiffany","This Book Is Anti-Racist: 20 Lessons on How to Wake Up, Take Action, and Do the Work","North East","Texas",NA,"December 2021"
"3969","Jiang, Ji-li","Red Kite, Blue Kite","Central York","Pennsylvania",NA,"September 2021"
"3970","Johnshon, Chelsea,","IntersectionAllies: We Make Room for All","Central York","Pennsylvania",NA,"September 2021"
"3971","Johnson, Cathy G.","The Breakaways","Indian River County School","Florida",NA,"November 2021"
"3972","Johnson, Cathy G.","The Breakaways","Rockwood","Missouri",NA,"October 2021"
"3973","Johnson, Cathy G.","The Breakaways","Katy","Texas",NA,"November 2021"
"3974","Johnson, Cathy G.","The Breakaways","Lamar Consolidated ISD","Texas",NA,"December 2021"
"3975","Johnson, Cathy G.","The Breakaways","North East","Texas",NA,"December 2021"
"3976","Johnson, Cathy G.","The Breakaways","Spring Branch ISD","Texas",NA,"September 2021"
"3977","Johnson, George M.","All Boys Aren't Blue","Clay County Schools","Florida",NA,"December 2021"
"3978","Johnson, George M.","All Boys Aren't Blue","Flagler School District","Florida",NA,"November 2021"
"3979","Johnson, George M.","All Boys Aren't Blue","Indian River County School","Florida",NA,"November 2021"
"3980","Johnson, George M.","All Boys Aren't Blue","Forsyth County Schools","Georgia",NA,"January 2022"
"3981","Johnson, George M.","All Boys Aren't Blue","Waukee","Iowa",NA,"October 2021"
"3982","Johnson, George M.","All Boys Aren't Blue","Goddard Public Schools","Kansas",NA,"November 2021"
"3983","Johnson, George M.","All Boys Aren't Blue","Wicomico County Schools","Maryland",NA,"February 2022"
"3984","Johnson, George M.","All Boys Aren't Blue","North Kansas City Schools","Missouri",NA,"October 2021"
"3985","Johnson, George M.","All Boys Aren't Blue","Wentzville","Missouri",NA,"Fall 2021"
"3986","Johnson, George M.","All Boys Aren't Blue","Yorktown Central School District","New York",NA,"January 2022"
"3987","Johnson, George M.","All Boys Aren't Blue","Central York","Pennsylvania",NA,"September 2021"
"3988","Johnson, George M.","All Boys Aren't Blue","Downington Area School District","Pennsylvania",NA,"October 2021"
"3989","Johnson, George M.","All Boys Aren't Blue","East Stroudsburg Area School District","Pennsylvania",NA,"Fall 2021"
"3990","Johnson, George M.","All Boys Aren't Blue","North Penn School District","Pennsylvania",NA,"September 2021"
"3991","Johnson, George M.","All Boys Aren't Blue","Denton","Texas",NA,"December 2021"
"3992","Johnson, George M.","All Boys Aren't Blue","Katy","Texas",NA,"November 2021"
"3993","Johnson, George M.","All Boys Aren't Blue","Klein ISD","Texas",NA,"Fall 2021"
"3994","Johnson, George M.","All Boys Aren't Blue","Lamar Consolidated ISD","Texas",NA,"December 2021"
"3995","Johnson, George M.","All Boys Aren't Blue","North East","Texas",NA,"December 2021"
"3996","Johnson, George M.","All Boys Aren't Blue","Tyler ISD","Texas",NA,"November 2021"
"3997","Johnson, George M.","All Boys Aren't Blue","Kent School District","Washington",NA,"January 2022"
"3998","Johnson, Kathleen Jeffrie","Target","Granbury Independent School District","Texas",NA,"January 2022"
"3999","Johnson, Kim","This Is My America","Indian River County School","Florida",NA,"November 2021"
"4000","Johnson, Kim","This Is My America","Pennridge School District","Pennsylvania",NA,"August 2021"
"4001","Johnson, Varian","My Life as a Rhombus","North East","Texas",NA,"December 2021"
"4002","Johnson, Varian","The Parker Inheritance","Central York","Pennsylvania",NA,"September 2021"
"4003","Johnson, Varian","What Were the Negro Leagues? (What was...? Series)","Central York","Pennsylvania",NA,"September 2021"
"4004","Johnston, E. K.","Exit, Pursued by a Bear","Indian River County School","Florida",NA,"November 2021"
"4005","Jones, Carrie","Tips on Having a Gay (Ex) Boyfriend (Belle Series)","North East","Texas",NA,"December 2021"
"4006","Jones, Patrick","Combat Zone","North East","Texas",NA,"December 2021"
"4007","Juby, Susan","Another Kind of Cowboy","Granbury Independent School District","Texas",NA,"January 2022"
"4008","Juby, Susan","Another Kind of Cowboy","North East","Texas",NA,"December 2021"
"4009","Juettner, Bonnie","Abortion","North East","Texas",NA,"December 2021"
"4010","Jules, Jacqueline","Abuela's Birthday (Sofía Martínez Series)","Central York","Pennsylvania",NA,"September 2021"
"4011","Jules, Jacqueline","Abuela's Special Letters (Sofía Martínez Series)","Central York","Pennsylvania",NA,"September 2021"
"4012","Jules, Jacqueline","Every Day Is Exciting (Sofía Martínez Series)","Central York","Pennsylvania",NA,"September 2021"
"4013","Jules, Jacqueline","Hector's Hiccups (Sofía Martínez Series)","Central York","Pennsylvania",NA,"September 2021"
"4014","Jules, Jacqueline","Lights Out (Sofía Martínez Series)","Central York","Pennsylvania",NA,"September 2021"
"4015","Jules, Jacqueline","My Family Adventure (Sofía Martínez Series)","Central York","Pennsylvania",NA,"September 2021"
"4016","Jules, Jacqueline","My Fantástica Family (Sofía Martínez Series)","Central York","Pennsylvania",NA,"September 2021"
"4017","Jules, Jacqueline","My Vida Loca (Sofía Martínez Series)","Central York","Pennsylvania",NA,"September 2021"
"4018","Jules, Jacqueline","Picture Perfect (Sofía Martínez Series)","Central York","Pennsylvania",NA,"September 2021"
"4019","Jules, Jacqueline","Shopping Trip Trouble (Sofía Martínez Series)","Central York","Pennsylvania",NA,"September 2021"
"4020","Jules, Jacqueline","Singing Superstar (Sofía Martínez Series)","Central York","Pennsylvania",NA,"September 2021"
"4021","Jules, Jacqueline","Sofia's Party Shoes (Sofía Martínez Series)","Central York","Pennsylvania",NA,"September 2021"
"4022","Jules, Jacqueline","The Beach Trip (Sofía Martínez Series)","Central York","Pennsylvania",NA,"September 2021"
"4023","Jules, Jacqueline","The Marigold Mess (Sofía Martínez Series)","Central York","Pennsylvania",NA,"September 2021"
"4024","Jules, Jacqueline","The Missing Mouse (Sofía Martínez Series)","Central York","Pennsylvania",NA,"September 2021"
"4025","Jules, Jacqueline","The Secret Recipe (Sofía Martínez Series)","Central York","Pennsylvania",NA,"September 2021"
"4026","Kaiser, Lisbeth","Maya Angelou (Little People, Big Dreams Series)","Central York","Pennsylvania",NA,"September 2021"
"4027","Kann, Claire","Let's Talk About Love","Granbury Independent School District","Texas",NA,"January 2022"
"4028","Kann, Claire","Let's Talk About Love","North East","Texas",NA,"December 2021"
"4029","Karcz, Lauren","The Gallery of Unfinished Girls","North East","Texas",NA,"December 2021"
"4030","Karre, Elizabeth","The Fight (Surviving Southside Series)","North East","Texas",NA,"December 2021"
"4031","Katcher, Brian","Almost Perfect","Polk County Schools","Florida",NA,"January 2022"
"4032","Katcher, Brian","Almost Perfect","Granbury Independent School District","Texas",NA,"January 2022"
"4033","Katcher, Brian","Almost Perfect","North East","Texas",NA,"December 2021"
"4034","Katz, Karen","Los colores de nuestra piel/The Colors of Us (Spanish Version)","Central York","Pennsylvania",NA,"September 2021"
"4035","Katz, Karen","The Colors of Us","Central York","Pennsylvania",NA,"September 2021"
"4036","Kay, Matthew R.","Not Light, but Fire: How to Lead Meaningful Race Conversations in the Classroom","Central York","Pennsylvania",NA,"September 2021"
"4037","Keil, Melissa","Life in Outer Space","North East","Texas",NA,"December 2021"
"4038","Kemmerer, Brigid","More Than We Can Tell","Hamilton County Schools","Tennessee",NA,"Fall 2021"
"4039","Kendi, Ibram X.","How to Be an Antiracist","Indian River County School","Florida",NA,"November 2021"
"4040","Kendi, Ibram X.","How to Be an Antiracist","Central York","Pennsylvania",NA,"September 2021"
"4041","Kendi, Ibram X.","How to Be an Antiracist","Klein ISD","Texas",NA,"Fall 2021"
"4042","Kendi, Ibram X.","How to Be an Antiracist","North East","Texas",NA,"December 2021"
"4043","Kendi, Ibram X.","Stamped from the Beginning: The Definitive History of Racist Ideas in America","Flagler School District","Florida",NA,"November 2021"
"4044","Kendi, Ibram X.","Stamped from the Beginning: The Definitive History of Racist Ideas in America","Central York","Pennsylvania",NA,"September 2021"
"4045","Kendi, Ibram X.","Stamped from the Beginning: The Definitive History of Racist Ideas in America","Granbury Independent School District","Texas",NA,"January 2022"
"4046","Kendi, Ibram X.","Stamped from the Beginning: The Definitive History of Racist Ideas in America","North East","Texas",NA,"December 2021"
"4047","Kern, Peggy","The Test (Bluford High Series)","North East","Texas",NA,"December 2021"
"4048","Kerr, M. E.","Hello, I Lied","North East","Texas",NA,"December 2021"
"4049","Keyser, Amber J.","Underneath It All: A History of Women's Underwear","North East","Texas",NA,"December 2021"
"4050","Khalil, Aya","The Arabic Quilt: An Immigrant Story","Central York","Pennsylvania",NA,"September 2021"
"4051","Khan, Brooke","Home of the Brave: 15 Immigrants Who Shaped U.S. History","Central York","Pennsylvania",NA,"September 2021"
"4052","Khan, Hena","Like the Moon Loves the Sky","Central York","Pennsylvania",NA,"September 2021"
"4053","Khan, Hena","Under My Hijab","Central York","Pennsylvania",NA,"September 2021"
"4054","Khan, Sabina","The Love and Lies of Rukhsana Ali","North East","Texas",NA,"December 2021"
"4055","Khorram, Adib","Darius the Great Deserves Better (Darius the Great Series)","Granbury Independent School District","Texas",NA,"January 2022"
"4056","Khorram, Adib","Darius the Great Deserves Better (Darius the Great Series)","North East","Texas",NA,"December 2021"
"4057","Kiely, Brendan","The Other Talk: Reckoning with Our White Privilege","Fredericksburg ISD","Texas",NA,"March 2022"
"4058","Kilbourne, Christina","They Called Me Red","Indian River County School","Florida",NA,"November 2021"
"4059","King, A. S.","Ask the Passengers","Granbury Independent School District","Texas",NA,"January 2022"
"4060","King, A. S.","Ask the Passengers","North East","Texas",NA,"December 2021"
"4061","King, A. S.","Everybody Sees the Ants","Middlebury Community Schools","Indiana",NA,"Fall 2021"
"4062","Kissinger, Katie","All the Colors We Are: Todos los colores de nuestra piel/The Story of How We Get Our Skin Color","Central York","Pennsylvania",NA,"September 2021"
"4063","Kissinger, Katie","All the Colors We Are: Todos los colores de nuestra piel/The Story of How We Get Our Skin Color (Spanish Version)","Central York","Pennsylvania",NA,"September 2021"
"4064","Klehr, Dawn","The Cutting Room Floor","North East","Texas",NA,"December 2021"
"4065","Klein, Rebecca T.","Transgender Rights and Protections","Klein ISD","Texas",NA,"Fall 2021"
"4066","Klise, James","Love Drugged","North East","Texas",NA,"December 2021"
"4067","Kluger, Steve","My Most Excellent Year: A Novel of Love, Mary Poppins, and Fenway Park","Granbury Independent School District","Texas",NA,"January 2022"
"4068","Kluger, Steve","My Most Excellent Year: A Novel of Love, Mary Poppins, and Fenway Park","North East","Texas",NA,"December 2021"
"4069","Knowles, Jo","Jumping Off Swings (Jumping Off Swings Series)","Fredericksburg ISD","Texas",NA,"March 2022"
"4070","Knowles, Jo","Pearl","North East","Texas",NA,"December 2021"
"4071","Knowles, Jo","See You at Harry's","North East","Texas",NA,"December 2021"
"4072","Kobabe, Maia","Gender Queer: A Memoir","Anchorage School District","Alaska",NA,"October 2021"
"4073","Kobabe, Maia","Gender Queer: A Memoir","Brevard County Public Schools","Florida",NA,"November 2021"
"4074","Kobabe, Maia","Gender Queer: A Memoir","Orange County","Florida",NA,"Fall 2021"
"4075","Kobabe, Maia","Gender Queer: A Memoir","Pinellas County Schools","Florida",NA,"Fall 2021"
"4076","Kobabe, Maia","Gender Queer: A Memoir","Community High School District 117","Illinois",NA,"December 2021"
"4077","Kobabe, Maia","Gender Queer: A Memoir","Lake Forest Schools","Illinois",NA,"Fall 2021"
"4078","Kobabe, Maia","Gender Queer: A Memoir","Ankeny Community School District","Iowa",NA,"November 2021"
"4079","Kobabe, Maia","Gender Queer: A Memoir","Waukee","Iowa",NA,"October 2021"
"4080","Kobabe, Maia","Gender Queer: A Memoir","Goddard Public Schools","Kansas",NA,"November 2021"
"4081","Kobabe, Maia","Gender Queer: A Memoir","Wappingers Central School District","New York",NA,"March 2022"
"4082","Kobabe, Maia","Gender Queer: A Memoir","Yorktown Central School District","New York",NA,"January 2022"
"4083","Kobabe, Maia","Gender Queer: A Memoir","Hudson","Ohio",NA,"September 2021"
"4084","Kobabe, Maia","Gender Queer: A Memoir","Downington Area School District","Pennsylvania",NA,"October 2021"
"4085","Kobabe, Maia","Gender Queer: A Memoir","East Stroudsburg Area School District","Pennsylvania",NA,"Fall 2021"
"4086","Kobabe, Maia","Gender Queer: A Memoir","Kutztown Area School District","Pennsylvania",NA,"November 2021"
"4087","Kobabe, Maia","Gender Queer: A Memoir","North Penn School District","Pennsylvania",NA,"September 2021"
"4088","Kobabe, Maia","Gender Queer: A Memoir","Wissahickon","Pennsylvania",NA,"October 2021"
"4089","Kobabe, Maia","Gender Queer: A Memoir","Fort Mill","South Carolina",NA,"November 2021"
"4090","Kobabe, Maia","Gender Queer: A Memoir","Birdville","Texas",NA,"Fall 2021"
"4091","Kobabe, Maia","Gender Queer: A Memoir","Canutillo Independent School District","Texas",NA,"October 2021"
"4092","Kobabe, Maia","Gender Queer: A Memoir","Keller","Texas",NA,"November 2021"
"4093","Kobabe, Maia","Gender Queer: A Memoir","Prosper ISD","Texas",NA,"Fall 2021"
"4094","Kobabe, Maia","Gender Queer: A Memoir","Spring Branch ISD","Texas",NA,"November 2021"
"4095","Kobabe, Maia","Gender Queer: A Memoir","Canyons School District","Utah",NA,"October 2021"
"4096","Kobabe, Maia","Gender Queer: A Memoir","Fairfax County Public Schools","Virginia",NA,"September 2021"
"4097","Kobabe, Maia","Gender Queer: A Memoir","Harrisonburg","Virginia",NA,"November 2021"
"4098","Kobabe, Maia","Gender Queer: A Memoir","Loudoun County Public School","Virginia",NA,"September 2021"
"4099","Kobabe, Maia","Gender Queer: A Memoir","Virginia Beach","Virginia",NA,"October 2021"
"4100","Kobabe, Maia","Gender Queer: A Memoir","Central Kitsap","Washington",NA,"Fall 2021"
"4101","Kobabe, Maia","Gender Queer: A Memoir","Walla Walla School District","Washington",NA,"February 2022"
"4102","Koertge, Ron","Boy Girl Boy","North East","Texas",NA,"December 2021"
"4103","Konigsberg, Bill","Honestly Ben (Openly Straight Series)","North East","Texas",NA,"December 2021"
"4104","Konigsberg, Bill","Openly Straight (Openly Straight Series)","Granbury Independent School District","Texas",NA,"January 2022"
"4105","Konigsberg, Bill","Openly Straight (Openly Straight Series)","North East","Texas",NA,"December 2021"
"4106","Konigsberg, Bill","The Bridge","North East","Texas",NA,"December 2021"
"4107","Konigsberg, Bill","The Music of What Happens","Indian River County School","Florida",NA,"November 2021"
"4108","Konigsberg, Bill","The Music of What Happens","North East","Texas",NA,"December 2021"
"4109","Konigsberg, Bill","The Music of What Happens","Prosper ISD","Texas",NA,"March 2022"
"4110","Kostecki-Shaw, Jenny Sue","Iguales, pero diferentes (Same, Same But Different)","Central York","Pennsylvania",NA,"September 2021"
"4111","Kostecki-Shaw, Jenny Sue","Same, Same But Different","Central York","Pennsylvania",NA,"September 2021"
"4112","Krull, Kathleen","Harvesting Hope: The Story of Cesar Chavez","Central York","Pennsylvania",NA,"September 2021"
"4113","Krull, Kathleen","Starstruck: The Cosmic Journey of Neil Degrasse Tyson","Central York","Pennsylvania",NA,"September 2021"
"4114","Krull, Kathleen","What Was the March on Washington? (What was...? Series)","Central York","Pennsylvania",NA,"September 2021"
"4115","Kuhlman, Evan","Hank's Big Day: The Story of a Bug","Central York","Pennsylvania",NA,"September 2021"
"4116","Kuklin, Susan","Beyond Magenta: Transgender Teens Speak Out","Siloam Springs School District","Arkansas",NA,"January 2022"
"4117","Kuklin, Susan","Beyond Magenta: Transgender Teens Speak Out","Indian River County School","Florida",NA,"November 2021"
"4118","Kuklin, Susan","Beyond Magenta: Transgender Teens Speak Out","Yorktown Central School District","New York",NA,"January 2022"
"4119","Kuklin, Susan","Beyond Magenta: Transgender Teens Speak Out","Birdville","Texas",NA,"November 2021"
"4120","Kuklin, Susan","Beyond Magenta: Transgender Teens Speak Out","Birdville","Texas",NA,"Fall 2021"
"4121","Kuklin, Susan","Beyond Magenta: Transgender Teens Speak Out","Fredericksburg ISD","Texas",NA,"March 2022"
"4122","Kuklin, Susan","Beyond Magenta: Transgender Teens Speak Out","Klein ISD","Texas",NA,"Fall 2021"
"4123","Kuklin, Susan","Beyond Magenta: Transgender Teens Speak Out","North East","Texas",NA,"December 2021"
"4124","Kuklin, Susan","Beyond Magenta: Transgender Teens Speak Out","Waller","Texas",NA,"November 2021"
"4125","Kuklin, Susan","Beyond Magenta: Transgender Teens Speak Out","Canyons School District","Utah",NA,"October 2021"
"4126","Kuklin, Susan","Beyond Magenta: Transgender Teens Speak Out","Virginia Beach","Virginia",NA,"October 2021"
"4127","La Grotteria, Coni","El color de la piel","Central York","Pennsylvania",NA,"September 2021"
"4128","La Sala, Ryan","Reverie","North East","Texas",NA,"December 2021"
"4129","Labrecque, Ellen","Who Was Maya Angelou? (Who was...? Series)","Central York","Pennsylvania",NA,"September 2021"
"4130","LaCour, Nina","Everything Leads to You","North East","Texas",NA,"December 2021"
"4131","LaCour, Nina","You Know Me Well","Granbury Independent School District","Texas",NA,"January 2022"
"4132","LaCour, Nina","You Know Me Well","North East","Texas",NA,"December 2021"
"4133","Ladson-Billings, Gloria","The Dreamkeepers: Successful Teachers of African American Children","Central York","Pennsylvania",NA,"September 2021"
"4134","Lainez, Rene Colato","¡Vámonos! Let's Go!","Central York","Pennsylvania",NA,"September 2021"
"4135","Landau, Elaine","Date Violence (Life Balance)","Fredericksburg ISD","Texas",NA,"March 2022"
"4136","Lange, Donna","Taking Responsibility: A Teen's Guide to Contraception and Pregnancy","North East","Texas",NA,"December 2021"
"4137","Larimore, Walter","The Ultimate Guys' Body Book: Not-So-Stupid Questions About Your Body","North East","Texas",NA,"December 2021"
"4138","Lassieur, Allison","25 Women Who Dared to Go","Central York","Pennsylvania",NA,"September 2021"
"4139","Latham, Irene","Can I Touch Your Hair? Poems of Race, Mistakes, and Friendship","Central York","Pennsylvania",NA,"September 2021"
"4140","Lauren, Christina","Autoboyography","North East","Texas",NA,"December 2021"
"4141","Lawrence, Lisa J.","Trail of Crumbs","Indian River County School","Florida",NA,"November 2021"
"4142","Lawson, Jamie","Rainbow Revolutions: Power, Pride and Protest in the Fight for Queer Rights","North East","Texas",NA,"December 2021"
"4143","Lawson, Richard","All We Can Do Is Wait","North East","Texas",NA,"December 2021"
"4144","Laymon, Kiese","Heavy: An American Memoir","Goddard Public Schools","Kansas",NA,"November 2021"
"4145","Laymon, Kiese","Heavy: An American Memoir","Wentzville","Missouri",NA,"Fall 2021"
"4146","Le, Minh","Drawn Together","Central York","Pennsylvania",NA,"September 2021"
"4147","Leavitt, Martine","My Book of Life by Angel","Indian River County School","Florida",NA,"November 2021"
"4148","Lecesne, Celeste","Absolute Brightness","North East","Texas",NA,"December 2021"
"4149","Lee, Harper","To Kill a Mockingbird","Pitt County Schools","North Carolina",NA,"Fall 2021"
"4150","Lee, Harper","To Kill a Mockingbird","Edmond Public Schools","Oklahoma",NA,"October 2021"
"4151","Lee, Lyla","I'll Be the One","Indian River County School","Florida",NA,"November 2021"
"4152","Lee, Lyla","Mindy Kim and the Big Pizza Challenge (Mindy Kim Series)","Central York","Pennsylvania",NA,"September 2021"
"4153","Lee, Lyla","Mindy Kim and the Birthday Puppy (Mindy Kim Series)","Central York","Pennsylvania",NA,"September 2021"
"4154","Lee, Lyla","Mindy Kim and the Fairy-Tale Wedding (Mindy Kim Series)","Central York","Pennsylvania",NA,"September 2021"
"4155","Lee, Lyla","Mindy Kim and the Lunar New Year Parade (Mindy Kim Series)","Central York","Pennsylvania",NA,"September 2021"
"4156","Lee, Lyla","Mindy Kim and the Trip to Korea (Mindy Kim Series)","Central York","Pennsylvania",NA,"September 2021"
"4157","Lee, Lyla","Mindy Kim and the Yummy Seaweed Business (Mindy Kim Series)","Central York","Pennsylvania",NA,"September 2021"
"4158","Lee, Lyla","Mindy Kim, Class President (Mindy Kim Series)","Central York","Pennsylvania",NA,"September 2021"
"4159","Lee, Stacey","The Downstairs Girl","North East","Texas",NA,"December 2021"
"4160","Leone, Bruno","Rape On Campus","Indian River County School","Florida",NA,"November 2021"
"4161","Levine, Ellen","Henry's Freedom Box: A True Story from the Underground Railroad","Central York","Pennsylvania",NA,"September 2021"
"4162","Levithan, David","Every Day (Every Day Series)","Middlebury Community Schools","Indiana",NA,"Fall 2021"
"4163","Levithan, David","Hold Me Closer: The Tiny Cooper Story (Will Grayson, Will Grayson Series)","Bristow Public Schools","Oklahoma",NA,"October 2021"
"4164","Levithan, David","Hold Me Closer: The Tiny Cooper Story (Will Grayson, Will Grayson Series)","Granbury Independent School District","Texas",NA,"January 2022"
"4165","Levithan, David","Hold Me Closer: The Tiny Cooper Story (Will Grayson, Will Grayson Series)","North East","Texas",NA,"December 2021"
"4166","Levithan, David","Love Is the Higher Law","North East","Texas",NA,"December 2021"
"4167","Levithan, David","Two Boys Kissing","Polk County Schools","Florida",NA,"January 2022"
"4168","Levithan, David","Two Boys Kissing","Forsyth County Schools","Georgia",NA,"January 2022"
"4169","Levithan, David","Two Boys Kissing","North East","Texas",NA,"December 2021"
"4170","Levithan, David","Wide Awake","North East","Texas",NA,"December 2021"
"4171","Lieberman, Leanne","Gravity","Granbury Independent School District","Texas",NA,"January 2022"
"4172","Light, Kate","Gender Identity: The Search for Self","North East","Texas",NA,"December 2021"
"4173","Limb, Sue","Girl, (Nearly) 16: Absolute Torture","Granbury Independent School District","Texas",NA,"January 2022"
"4174","Limb, Sue","Girl, (Nearly) 16: Absolute Torture","North East","Texas",NA,"December 2021"
"4175","Lin, Grace","A Big Mooncake for Little Star","Central York","Pennsylvania",NA,"September 2021"
"4176","Linn, Laurent","Draw the Line","North East","Texas",NA,"December 2021"
"4177","Lo, Malinda","A Line in the Dark","North East","Texas",NA,"December 2021"
"4178","Lo, Malinda","Ash","Granbury Independent School District","Texas",NA,"January 2022"
"4179","Lo, Malinda","Ash","North East","Texas",NA,"December 2021"
"4180","Lockhart, E.","Fly on the Wall: How One Girl Saw Everything","Indian River County School","Florida",NA,"November 2021"
